No.,company name,website,url,country,continent,source,revenue/0,revenue/1
491,BROWN CONSTRUCTION INC.,,https://en.wikipedia.org/wiki/KBR_(company),U.S.A.,America,Wikipedia,6.564 billion (2022),
496,BARRY-WEHMILLER DESIGN GROUP,,https://en.wikipedia.org/wiki/Barry-Wehmiller,U.S.A.,America,Wikipedia, $3 billion ,
500,CCC GROUP INC.,,"https://en.wikipedia.org/wiki/Nasdaq,_Inc.",U.S.A.,America,Wikipedia,6.06 billion,
508,BOB MOORE CONSTRUCTION,,https://en.wikipedia.org/wiki/Tandy_Leather_Factory,U.S.A.,America,Wikipedia,$78.284 million,
509,BUTZ ENTERPRISES INC.,,https://en.wikipedia.org/wiki/Honeywell,U.S.A.,America,Wikipedia,36.66 billion,
516,GHILOTTI CONSTRUCTION CO.,,https://en.wikipedia.org/wiki/ZAP_(motor_company),U.S.A.,America,Wikipedia, US$-4.07 million (2009),
529,M. J. HARRIS CONSTRUCTION SERVICES LLC,,https://en.wikipedia.org/wiki/Harris_Teeter,U.S.A.,America,Wikipedia,4.54 billion (2012),
537,"Guangzhou Municipal Construction Group Co., Ltd.",,https://en.wikipedia.org/wiki/BAIC_Group,China,Asia Pacific,Wikipedia,,
534,"Shanxi Construction & Engineering Group Crop, LTD",,https://en.wikipedia.org/wiki/Geely_Auto,China,Asia Pacific,Wikipedia,179.2 billion (2023),
542,"China Communications First Public Bureau Group Co., LTD",,https://en.wikipedia.org/wiki/Hisense,China,Asia Pacific,Wikipedia,US$18.3 billion (2019),
556,"China Railway 14th Bureau Group Co., LTD",,https://en.wikipedia.org/wiki/All_Nippon_Airways,China,Asia Pacific,Wikipedia,,
561,Sinopec Oilfield Service Corporation,,https://en.wikipedia.org/wiki/Sinopec,China,Asia Pacific,Wikipedia,"3,318,168 million (",482.4 billion) (2022)
637,China Railway Guangzhou Engineering Group Co. Ltd.,,https://en.wikipedia.org/wiki/China_Railway,China,Asia Pacific,Wikipedia,,
648,"CHINA POWER YELLOW RIVER CO., LTD",https://11j.powerchina.cn/,https://en.wikipedia.org/wiki/Power_Construction_Corporation_of_China,China,Asia Pacific,Wikipedia,,
650,"HUAXIN CONSTRUCTION GROUP CO., LTD",http://www.nthxjgjt.cn/,https://en.wikipedia.org/wiki/China_Recycling_Energy_Corporation,China,Asia Pacific,Wikipedia,,
652,"China Railway Urban Construction Group Co., Ltd.",,https://en.wikipedia.org/wiki/China_Railway_Construction_Corporation,China,Asia Pacific,Wikipedia,680.98 billion (2017),
653,China Petroleum Engineering & Construction （Group） Corporation,,https://en.wikipedia.org/wiki/China_National_Petroleum_Corporation,China,Asia Pacific,Wikipedia,,
690,CCT Technology Holdings Ltd.,,https://en.wikipedia.org/wiki/Haier,China,Asia Pacific,Wikipedia,227.5 billion (2021),
692,"GUIZHOU HIGHWAY ENGINEERING GROUP CO., LTD",http://www.gggg.cn/,https://en.wikipedia.org/wiki/China_Southern_Airlines,China,Asia Pacific,Wikipedia,127.806 billion ,
695,"NORINCO International Co., Ltd.",,https://en.wikipedia.org/wiki/BYD_Company,China,Asia Pacific,Wikipedia,602.31 billion (2023),129.95 billion (2023)
705,"CHINA ENERGY CONSTRUCTION GROUP CO., LTD. ",,https://en.wikipedia.org/wiki/China_Energy_Engineering_Corporation,China,Asia Pacific,Wikipedia,,
720,ThyssenKrupp Industrial Solutions AG Essen,,https://en.wikipedia.org/wiki/ThyssenKrupp,Germany,Europe,Wikipedia, €41.140 billion (2022),
676,"DAYUAN GROUP CO.,LTD",http://www.dyjyjt.com/,https://en.wikipedia.org/wiki/China_Airlines,China,Asia Pacific,Wikipedia, 139.815 billion (2017),
733,BayWa AG Munich,,https://en.wikipedia.org/wiki/BayWa,Germany,Europe,Wikipedia, €27.1 billion (2022),
727,Max Bögl Stiftung & Co. KG Sengenthal,,https://en.wikipedia.org/wiki/Max_Bögl,Germany,Europe,Wikipedia,1.7 billion (2017),
763,Domtar Inc Montréal,,https://en.wikipedia.org/wiki/Domtar,Canada,America,Wikipedia,,
777,Inter Pipeline Ltd Calgary,,https://en.wikipedia.org/wiki/Inter_Pipeline,Canada,America,Wikipedia, $2.5 billion (2019),"
$2.6 billion (2018)"
765,Vale Canada Limited Toronto,,https://en.wikipedia.org/wiki/Vale_Canada,Canada,America,Wikipedia, 8.3 billion ,
803,Takasago Thermal Engineering Co. Ltd,,https://en.wikipedia.org/wiki/Mitsubishi_Heavy_Industries,Japan,Asia Pacific,Wikipedia,"3,860.2 billion (2021)",
788,Rona Inc Québec,,https://en.wikipedia.org/wiki/Rona_(store),Canada,America,Wikipedia,$4.2 billion ,
815,"Kumagai Gumi Co.,Ltd.",,https://en.wikipedia.org/wiki/Kumagai_Gumi,Japan,Asia Pacific,Wikipedia, 344.7 billion (, 3.07 billion) (FY 2016)
819,NAGAWA Co. Ltd,,https://en.wikipedia.org/wiki/Mabuchi_Motor,Japan,Asia Pacific,Wikipedia,108.401 billion,
820,Yokogawa Bridge Holdings Corp,,https://en.wikipedia.org/wiki/SoftBank_Group,Japan,Asia Pacific,Wikipedia,,
772,G4S Secure Solutions (Canada) Ltd Toronto,,https://en.wikipedia.org/wiki/Carillion,Canada,America,Wikipedia,,
825,NOMURA Co. Ltd,,https://en.wikipedia.org/wiki/Nomura_Holdings,Japan,Asia Pacific,Wikipedia,,
831,TOA Corp,,https://en.wikipedia.org/wiki/TOA_Corporation,Japan,Asia Pacific,Wikipedia, 44.1 billion (, 416.7 million) (FY 2017)
839,Fuji Furukawa Engineering & Construction Co.Ltd.,,https://en.wikipedia.org/wiki/Fuji_Electric,Japan,Asia Pacific,Wikipedia, 276.8 billion (, 1.54 billion) (FY 2016)
817,"Sumitomo Densetsu Co.,Ltd.",,https://en.wikipedia.org/wiki/Sumitomo_Chemical,Japan,Asia Pacific,Wikipedia, 21.8 billion (," 2,243 billion) (FY 2013)"
846,Toyo Engineering Corp,,https://en.wikipedia.org/wiki/Toyo_Engineering_Corporation,Japan,Asia Pacific,Wikipedia, 431.9 billion (," 2016)
                        (US$3.89 billion) (FY 2016)"
864,"MESCO, Inc.",,https://en.wikipedia.org/wiki/Gucci,Japan,Asia Pacific,Wikipedia,9.9 billion (2023),
870,Asia Air Survey Co. Ltd,,https://en.wikipedia.org/wiki/Japan_Airlines,Japan,Asia Pacific,Wikipedia,,
871,Tanabe Engineering Corp,,https://en.wikipedia.org/wiki/Sharp_Corporation,Japan,Asia Pacific,Wikipedia,,
881,ENGIE SERVICE POLYNESIE,,https://en.wikipedia.org/wiki/Électricité_de_Tahiti,France,Europe,Wikipedia,22.4 billion XPF (2021),
865,"Comany, Inc.",,https://en.wikipedia.org/wiki/CallidusCloud,Japan,Asia Pacific,Wikipedia,,
872,Dai-Ichi Cutter Kogyo k.k.,,https://en.wikipedia.org/wiki/Kyocera,Japan,Asia Pacific,Wikipedia,,
925,L&T Engineering & Construction Division (L&T ECC),,https://en.wikipedia.org/wiki/Larsen_&_Toubro,India,Asia Pacific,Wikipedia, (US$27 billion),
888,SARL BOYER,,https://en.wikipedia.org/wiki/Vantiva,France,Europe,Wikipedia,€2.9 billion,
930,Afcons Infrastructure Limited,,https://en.wikipedia.org/wiki/Afcons_Infrastructure,India,Asia Pacific,Wikipedia, (US$1.5 billion) (FY23),
940,Essar Group,,https://en.wikipedia.org/wiki/Essar_Group,India,Asia Pacific,Wikipedia, (US$14 billion) (2022),
941,GVK Group,,https://en.wikipedia.org/wiki/GVK_Industries,India,Asia Pacific,Wikipedia,31.363 billion, (US$380 million)(2015)
943,Jaypee Group (Jaiprakash Associates Ltd),,https://en.wikipedia.org/wiki/Jaypee_Group,India,Asia Pacific,Wikipedia, (US$790 million) (2021),
944,KEC International Ltd,,https://en.wikipedia.org/wiki/KEC_International,India,Asia Pacific,Wikipedia, (US$2.1 billion) (FY23),
952,Ahluwalia Contract India Ltd.,,https://en.wikipedia.org/wiki/NDTV,India,Asia Pacific,Wikipedia, (US$47 million) (2024),
972, MARG Ltd,,https://en.wikipedia.org/wiki/MARG_(company),India,Asia Pacific,Wikipedia,15.8 billion, (US$190 million) (FY 2012)
984,Hutchinson Builders,,https://en.wikipedia.org/wiki/Hutchinson_Builders,Australia,Asia Pacific,Wikipedia,A$2.66 billion,
993,Reliance Worldwide,,https://en.wikipedia.org/wiki/Reliance_Worldwide_Corporation,Australia,Asia Pacific,Wikipedia,"1,162.4 million ",
1019,Golding Contractors,,https://en.wikipedia.org/wiki/NRW_Holdings,Australia,Asia Pacific,Wikipedia,$2.3 billion (2021),
1048,Mercer Building Solutions,,https://en.wikipedia.org/wiki/Mercer_(consulting_firm),UK,Europe,Wikipedia,,
1053,Galliford Try,,https://en.wikipedia.org/wiki/Galliford_Try,UK,Europe,Wikipedia,"1,393.7 million (2023)",
1061,posco E&C ,,https://en.wikipedia.org/wiki/POSCO,South Korea,Asia Pacific,Wikipedia,,
1055,Samsung C&T,https://news.samsungcnt.com/en/,https://en.wikipedia.org/wiki/Samsung_C&T_Corporation,South Korea,Asia Pacific,Wikipedia,,
1070, TAEYOUNG E&C,,https://en.wikipedia.org/wiki/Seoul_Broadcasting_System,South Korea,Asia Pacific,Wikipedia,,
1075,Kumho E & C,,https://en.wikipedia.org/wiki/Kumho_Tire,South Korea,Asia Pacific,Wikipedia,,
1085," Dongwon Development Co., Ltd.",,https://en.wikipedia.org/wiki/Hanssem,South Korea,Asia Pacific,Wikipedia,,
1095,HYOSUNG HEAVY INDUSTRY,https://www.hyosung.com/en/promotion/news-center?page=1&lang=en&category=news-center#nav,https://en.wikipedia.org/wiki/Hyosung,South Korea,Asia Pacific,Wikipedia, 17.0 billion (2015),
1096,Doosan Enerbility,https://www.doosanenerbility.com/en/about/news_board_list,https://en.wikipedia.org/wiki/Doosan_Enerbility,South Korea,Asia Pacific,Wikipedia, 7.67 billion (2011),
1121,VIAS Y CONSTRUCCIONES SA Madrid,,https://en.wikipedia.org/wiki/Construcciones_y_Auxiliar_de_Ferrocarriles,Spain,Europe,Wikipedia, €2.943 billion ,
1285,ALEC,,https://en.wikipedia.org/wiki/American_Legislative_Exchange_Council,UAE,MENA,Wikipedia,,
1370,E4 Group,,https://en.wikipedia.org/wiki/E4_Group,Russia,Europe,Wikipedia,billion,
1381,Webuild,,https://en.wikipedia.org/wiki/Webuild,Romania,Europe,Wikipedia, €9.99 billion (2023),
1380,Strabag,,https://en.wikipedia.org/wiki/Strabag,Romania,Europe,Wikipedia,"15,298 million ",
1461,Socovesa,,https://en.wikipedia.org/wiki/Socovesa,Chile,America,Wikipedia, US$488.1 million (2010),
