No.,company name,website,url,country,continent,source,revenue/0,revenue/1
125,Pizzarotti Group,https://www.pizzarotti.it/en/news/,https://en.wikipedia.org/wiki/Impresa_Pizzarotti,Italy,Europe,Wikipedia," € 1,255.9 million (2022)",
124,Astaldi,,https://en.wikipedia.org/wiki/Astaldi,Italy,Europe,Wikipedia,€3.0 billion (2016),
120,Yit Corp.,https://www.yitgroup.com/en/media?page=3,https://en.wikipedia.org/wiki/YIT,Finland,Europe,Wikipedia,3.4 billion ,
127,Rizzani De Eccher,https://rde.it/en/news-media/news/,https://en.wikipedia.org/wiki/Rizzani_de_Eccher,Italy,Europe,Wikipedia, € 510 million ,
119,Besix,https://www.besix.com/en/news,https://en.wikipedia.org/wiki/Besix,Belgium,Europe,Wikipedia, US$3.8 billion ,
129,Volker Wessels Group,https://www.volkerwessels.com/en/news?page=0,https://en.wikipedia.org/wiki/VolkerWessels,Netherlands,Europe,Wikipedia,€5.714 billion ,
130,Heijmans,https://www.heijmans.nl/en/news/?page=1,https://en.wikipedia.org/wiki/Heijmans,Netherlands,Europe,Wikipedia,€2.680 billion ,
134,Veidekke,,https://en.wikipedia.org/wiki/Veidekke,Norway,Europe,Wikipedia, 30 billion (2016),
135,Af Gruppen,https://www.afgruppen.com/press/news-archive/,https://en.wikipedia.org/wiki/AF_Group,Norway,Europe,Wikipedia," 12,4 billion (2015)",
136,Mota Engil,,https://en.wikipedia.org/wiki/Mota-Engil,Portugal,Europe,Wikipedia,2.368 billion ,
139,Zagope,,https://en.wikipedia.org/wiki/Andrade_Gutierrez,Portugal,Europe,Wikipedia," US$ 2.308,4 billion ",
147,Morgan Sindall,,https://en.wikipedia.org/wiki/Morgan_Sindall,United Kingdom,Europe,Wikipedia,"4,117.7 million (2023)",
141,Implenia,https://implenia.com/en/media/newsroom/,https://en.wikipedia.org/wiki/Implenia,Switzerland,Europe,Wikipedia," 3,596 million (2023)",
148,Galliford Try,https://www.gallifordtry.co.uk/news/,https://en.wikipedia.org/wiki/Galliford_Try,United Kingdom,Europe,Wikipedia,"1,393.7 million (2023)",
149,Kier,https://www.kier.co.uk/media/,https://en.wikipedia.org/wiki/Kier_Group,United Kingdom,Europe,Wikipedia,"3,405.4 million (2023)",
151,Laing O'Rourke,https://www.laingorourke.com/company/news/,https://en.wikipedia.org/wiki/Laing_O%27Rourke,United Kingdom,Europe,Wikipedia,"3,638.0 million (2022/23)",
150,Mitie,https://www.mitie.com/insights-news/news-events/,https://en.wikipedia.org/wiki/Mitie,United Kingdom,Europe,Wikipedia,"4,055.1 million (2023)",
154,Mace,https://www.macegroup.com/media-centre,https://en.wikipedia.org/wiki/Mace_(construction_company),United Kingdom,Europe,Wikipedia,"1,936.4 million (2022)",
153,Interserve,,https://en.wikipedia.org/wiki/Interserve,United Kingdom,Europe,Wikipedia,"2,241.7 million (2019)",
169,TURNER CONSTRUCTION CO.,https://www.turnerconstruction.com/insights?search=&page=1#projects-section,https://en.wikipedia.org/wiki/Turner_Construction,United States,America,Wikipedia,$14.41 billion (2020),
173,HENSEL PHELPS,https://www.henselphelps.com/the-hensel-phelps-way/news-center/,https://en.wikipedia.org/wiki/Hensel_Phelps_Construction,United States,America,Wikipedia,US$5.9 billion (2021),
179,BRASFIELD & GORRIE,https://www.brasfieldgorrie.com/news,https://en.wikipedia.org/wiki/Brasfield_%26_Gorrie,United States,America,Wikipedia,billion,
174,AECOM,https://aecom.com/press-releases/,https://en.wikipedia.org/wiki/AECOM,United States,America,Wikipedia,14.378 billion,
181,SUFFOLK CONSTRUCTION CO. INC.,,https://en.wikipedia.org/wiki/Suffolk_Construction_Company,United States,America,Wikipedia,$6 billion (2024),
187,BALFOUR BEATTY US,https://www.balfourbeattyus.com/media/in-the-news,https://en.wikipedia.org/wiki/Balfour_Beatty_Construction,United States,America,Wikipedia,,
210,FERROVIAL CONSTRUCTION US HOLDINGS CORP.,,https://en.wikipedia.org/wiki/Ferrovial,United States,America,Wikipedia, €12.208 billion ,
249,LANE INDUSTRIES INC.,,https://en.wikipedia.org/wiki/Webuild,United States,America,Wikipedia, €9.99 billion (2023),
273,HOAR CONSTRUCTION,,https://en.wikipedia.org/wiki/Hoar_Construction,United States,America,Wikipedia,billion,
291,LAS VEGAS PAVING CORP,,https://en.wikipedia.org/wiki/Tutor_Perini,United States,America,Wikipedia,US$4.76 billion (2017),
282,KAJIMA BUILDING & DESIGN GROUP INC.,,https://en.wikipedia.org/wiki/Kajima,United States,America,Wikipedia, $ 15.798 billion ," 2012)
                   (¥  1485.01 billion "
307,ARCH-CON CORP,,https://en.wikipedia.org/wiki/Arch-Con_Corporation,United States,America,Wikipedia,,
313,CARROLL DANIEL CONSTRUCTION CO.,,https://en.wikipedia.org/wiki/Fluor_Corporation,United States,America,Wikipedia,15.5 billion,
324,MWH,,https://en.wikipedia.org/wiki/MWH_Global,United States,America,Wikipedia,,
344,GREAT LAKES DREDGE & DOCK CO.,,https://en.wikipedia.org/wiki/Great_Lakes_Dredge_and_Dock_Company,United States,America,Wikipedia,$731.41 million ,
349,ZACHRY CONSTRUCTION CORP.,,https://en.wikipedia.org/wiki/HNTB,United States,America,Wikipedia,$693 million ,
357,RAND CONSTRUCTION CORP.,,https://en.wikipedia.org/wiki/Quanta_Services,United States,America,Wikipedia,$29.94 billion ,$9.466 billion
410,C. OVERAA & CO.,,https://en.wikipedia.org/wiki/Overaa_Construction,United States,America,Wikipedia,$235 million (2011),
377,W. M. JORDAN CO.,,https://en.wikipedia.org/wiki/KBR_(company),United States,America,Wikipedia,6.564 billion (2022),
438,E.W. HOWELL CO. LLC,,https://en.wikipedia.org/wiki/Obayashi_Corporation,United States,America,Wikipedia, $ 17.28 billion ," 2018.3)
                   (¥  1,901 billion "
526,TRI-NORTH BUILDERS INC.,,https://en.wikipedia.org/wiki/Tri_Pointe_Homes,United States,America,Wikipedia, $3.970 billion (2021),
515,CLARK CONTRACTORS,,https://en.wikipedia.org/wiki/Clark_Construction,United States,America,Wikipedia,$6.5 billion (2022),
538,"China Construction First (Group) Co., LTD",,https://en.wikipedia.org/wiki/China_Railway_Construction_Corporation,China,Asia Pacific,Wikipedia,680.98 billion (2017),
558,"Yunnan Transportation Investment Construction Group Co., LTD",,https://en.wikipedia.org/wiki/Shandong_Gaosu_Group,China,Asia Pacific,Wikipedia,,
568,"China Railway Fifth Bureau Group Co., LTD",,https://en.wikipedia.org/wiki/China_Railway_No.2_Group,China,Asia Pacific,Wikipedia,billion,
651,"CHINA ALUMINUM INTERNATIONAL ENGINEERING CO., LTD",https://zlgj.chinalco.com.cn/,https://en.wikipedia.org/wiki/China_Aluminum_International_Engineering,China,Asia Pacific,Wikipedia,RMB 16.4 billion (2012),
610,"China Sinoma International Engineering Co., Ltd",,https://en.wikipedia.org/wiki/China_National_Materials_Group,China,Asia Pacific,Wikipedia,28.75 billion Yuan (2008) ,
714,BAUER AG Schrobenhausen,,https://en.wikipedia.org/wiki/Bauer_AG,Germany,Europe,Wikipedia,EUR 1.8 billion ,
723,GOLDBECK GmbH Bielefeld,,https://en.wikipedia.org/wiki/Goldbeck_GmbH,Germany,Europe,Wikipedia,5 billion ,
689,"Wuhan East Lake High Technology Group Co.,Ltd.",http://www.elht.com/,https://en.wikipedia.org/wiki/Wanda_Group,China,Asia Pacific,Wikipedia, CN¥257.371 billion (US$31.7 billion) (2018),
745,SNC-Lavalin Group Inc Montréal,,https://en.wikipedia.org/wiki/AtkinsR%C3%A9alis,Canada,America,Wikipedia,8.6 billion (2023),
778,EllisDon Inc London,,https://en.wikipedia.org/wiki/EllisDon,Canada,America,Wikipedia,In excess of $3.5 billion annually,
797,Taisei Corp,,https://en.wikipedia.org/wiki/Taisei_Corporation,Japan,Asia Pacific,Wikipedia,"¥1,487,253 million ",
816,Toyo Construction Co. Ltd,,https://en.wikipedia.org/wiki/Toyo_Engineering_Corporation,Japan,Asia Pacific,Wikipedia, 431.9 billion (," 2016)
                        (US$3.89 billion) (FY 2016)"
811,Penta-Ocean Construction Co. Ltd,,https://en.wikipedia.org/wiki/Penta-Ocean,Japan,Asia Pacific,Wikipedia, $ 3.69 billion ," 2013)
                  (¥  381.18 billion "
823,Takamatsu Construction Group Co. Ltd,,https://en.wikipedia.org/wiki/Takamatsu_Construction_Group,Japan,Asia Pacific,Wikipedia,"¥245,1 million",
807,JGC Holdings Corp,,https://en.wikipedia.org/wiki/JGC_Holdings_Corporation,Japan,Asia Pacific,Wikipedia, 879.9 billion (, 7.3 billion) (FY 2015)
832,Chiyoda Corp,,https://en.wikipedia.org/wiki/Chiyoda_Corporation,Japan,Asia Pacific,Wikipedia, 603.7 billion (, 5.56 billion) (
882,BOUYGUES BATIMENT INTERNATIONAL Guyancourt,,https://en.wikipedia.org/wiki/Bouygues,France,Europe,Wikipedia,37.59 billion,
929,Hindustan Construction Company (HCC),,https://en.wikipedia.org/wiki/Hindustan_Construction_Company,India,Asia Pacific,Wikipedia, (US$1.3 billion) (2022),
926,Tata Projects Ltd,,https://en.wikipedia.org/wiki/Tata_Projects,India,Asia Pacific,Wikipedia, (US$2.2 billion) (FY24),
966,IRB Ltd.,,https://en.wikipedia.org/wiki/IRB_Infrastructure,India,Asia Pacific,Wikipedia, (US$330 million),
957, C&C Constructions Ltd,,https://en.wikipedia.org/wiki/Samsung_C%26T_Corporation,India,Asia Pacific,Wikipedia,,
942,IRCON International Ltd,,https://en.wikipedia.org/wiki/Ircon_International,India,Asia Pacific,Wikipedia, (US$650 million) (2020),
948,National Building Construction Corporation Limited (NBCC),,https://en.wikipedia.org/wiki/NBCC_(India)_Limited,India,Asia Pacific,Wikipedia, (US$620 million) (2020) ,
996,BESIX / Watpac,https://besixwatpac.com/news,https://en.wikipedia.org/wiki/BESIX_Watpac,Australia,Asia Pacific,Wikipedia,$1.1 billion (2018),
986,Fulton Hogan,,https://en.wikipedia.org/wiki/Fulton_Hogan,Australia,Asia Pacific,Wikipedia,$3.22 billion (2013),
994,NRW Holdings Limited,https://nrw.com.au/about-us/latest-news/,https://en.wikipedia.org/wiki/NRW_Holdings,Australia,Asia Pacific,Wikipedia,$2.3 billion (2021),
1026,Bowmer & Kirkland,,https://en.wikipedia.org/wiki/Bowmer_%2B_Kirkland,United Kingdom,Europe,Wikipedia,"£1,069.8 million (2019)",
989,Acciona,https://www.acciona.com/updates/?_adin=11734293023,https://en.wikipedia.org/wiki/Acciona,Australia,Asia Pacific,Wikipedia, €8.104  billion ,
1034,ISG,,https://en.wikipedia.org/wiki/ISG_Ltd,United Kingdom,Europe,Wikipedia,"2,190 million (2022)",
1022,Grocon,,https://en.wikipedia.org/wiki/Grocon,Australia,Asia Pacific,Wikipedia,A$317 million (FY2017),
1042,Sir Robert McAlpine,,https://en.wikipedia.org/wiki/Sir_Robert_McAlpine,United Kingdom,Europe,Wikipedia,881 million (2023),
1037,Willmott Dixon,,https://en.wikipedia.org/wiki/Willmott_Dixon,United Kingdom,Europe,Wikipedia," £1,101.5 million (2021)",
1082,SsangYong E&C ,https://www.ssyenc.co.kr/en/promote/ssyenc_info_list.asp,https://en.wikipedia.org/wiki/Ssangyong_Engineering_and_Construction,South Korea,Asia Pacific,Wikipedia,,
1092," HANYANG CORPORATION Co., Ltd. ",,https://en.wikipedia.org/wiki/Hanwha_Group,South Korea,Asia Pacific,Wikipedia,,
1137,COMSA INSTALACIONES Y SISTEMAS INDUSTRIALES SA Barcelona,,"https://en.wikipedia.org/wiki/Estudios,_Montajes_y_Tendidos_El%C3%A9ctricos",Spain,Europe,Wikipedia,,
1158,Doka GmbH Amstetten,,https://en.wikipedia.org/wiki/Doka_GmbH,Austria,Europe,Wikipedia," 1,853 million (consolidated revenues of the Umdasch Group AG, annual report 2023)",
1170,STRABAG AG Spittal an der Drau,,https://en.wikipedia.org/wiki/Strabag,Austria,Europe,Wikipedia,"15,298 million ",
1221,Losinger Marazzi AG Bern,,https://en.wikipedia.org/wiki/Frutiger_AG,Switzerland,Europe,Wikipedia, 802 millions (2021),
1257,IJM,https://www.ijm.com/,https://en.wikipedia.org/wiki/IJM_Corporation, Malaysia,Asia Pacific,Wikipedia, RM5.13 billion (2016),
1245,PT Waskita Karya (Waskita),,https://en.wikipedia.org/wiki/Waskita_Karya,Indonesia,Asia Pacific,Wikipedia,,
1258,Gamuda Berhad,https://gamuda.com.my/,https://en.wikipedia.org/wiki/Gamuda_Berhad, Malaysia,Asia Pacific,Wikipedia,,
1261,Nakano Construction,http://nakano-const.com/,https://en.wikipedia.org/wiki/Nakano_Corporation, Malaysia,Asia Pacific,Wikipedia, 116.8 billion (, 1.04 billion) (FY 2016)
1265,Malaysian Resources Corporation,https://www.mrcb.com.my/,https://en.wikipedia.org/wiki/MRCB, Malaysia,Asia Pacific,Wikipedia,"2,408 million (2016)",
1312,Concor Construction,www.concor.co.za,https://en.wikipedia.org/wiki/Concor,South Africa,Africa,Wikipedia,,
1269,Arabtec Construction LLC,,https://en.wikipedia.org/wiki/Arabtec_Holding_PJSC,United Arab Emirates,MENA,Wikipedia,5.66 billion ,
1366,PIK,,https://en.wikipedia.org/wiki/PIK_Group,Russia,Europe,Wikipedia,$5.27 billion,
1386,Putevi Srbije,,https://en.wikipedia.org/wiki/Putevi_Srbije,Serbia,Europe,Wikipedia,284.64 million ,
1388,AD Putevi Uzice,,https://en.wikipedia.org/wiki/Putevi_U%C5%BEice,Serbia,Europe,Wikipedia,139.68 million ,
1394,Energoprojekt ENTEL,,https://en.wikipedia.org/wiki/Energoprojekt_holding,Serbia,Europe,Wikipedia,130.32 million ,
1270,Al Futtaim Carillion LLC,,https://en.wikipedia.org/wiki/Carillion,United Arab Emirates,MENA,Wikipedia,,
1417,Parsons International,,https://en.wikipedia.org/wiki/Parsons_Corporation,Qatar,MENA,Wikipedia,5.44 billion,
10,Alpine Engineering,,https://en.wikipedia.org/wiki/Alpine_Electronics,Austria,Europe,Wikipedia,"265,054 million ",
14,Downer,https://www.downergroup.com/news,https://en.wikipedia.org/wiki/Downer_Rail,Australia,Asia Pacific,Wikipedia,$1.336 billion (June 2013),
35,ZECH Group GmbH,https://www.arup.com/news/all-news/?page=1,https://en.wikipedia.org/wiki/Arup_Group,Germany,Europe,Wikipedia, £1.9 billion (2022),
37,Züblin AG,https://porr-group.com/en/press/,https://en.wikipedia.org/wiki/Porr,Germany,Europe,Wikipedia,4.65 billion EUR (2020),
38,Saint-Gobain,,https://en.wikipedia.org/wiki/Saint-Gobain,Denmark,Europe,Wikipedia,51.2 billion (2022),
45,Amer Group ,,https://en.wikipedia.org/wiki/Amer_Sports,Egypt,MENA,Wikipedia,3.55 billion,
50,MEGA for construction and industries,https://www.megaci-eg.com/all%20news.php,https://en.wikipedia.org/wiki/Mega_Brands,Egypt,MENA,Wikipedia,$1.08 billion (,
59,Artelia,,https://en.wikipedia.org/wiki/Artelia,France,Europe,Wikipedia,745 million,
61,Tarkett,,https://en.wikipedia.org/wiki/Tarkett,France,Europe,Wikipedia,3.363 billion,
67,Holcim,,https://en.wikipedia.org/wiki/Holcim,France,Europe,Wikipedia, 21.65 billion (2010),
74,KEC International Limited,https://www.kecrpg.com/press-release?page=1,https://en.wikipedia.org/wiki/RPG_Group,India,Asia,Wikipedia, (US$3.1 billion),
80,Técnicas Reunidas SA,https://www.tecnicasreunidas.es/news/,https://en.wikipedia.org/wiki/Técnicas_Reunidas,Spain,Europe,Wikipedia, €4.699 billion ,
96,El Seif Engineering Contracting,https://www.el-seif.com.sa/en/news,https://en.wikipedia.org/wiki/Google_Search,Saudi Arabia,MENA,Wikipedia,,
105,Al-Ayuni Investment & Contracting,,https://en.wikipedia.org/wiki/Saudi_Railways_Organization,Saudi Arabia,MENA,Wikipedia,SAR 535 million,
117,CFE,https://www.cfe.be/en/media,https://en.wikipedia.org/wiki/CFE_(Belgium),Belgium,Europe,Wikipedia,,
118,DEME,https://www.deme-group.com/news,https://en.wikipedia.org/wiki/DEME,Belgium,Europe,Wikipedia,€2 645.8 million ,
90,Bravida,https://www.bravida.se/en/press/press-releases/,https://en.wikipedia.org/wiki/Telenor,Sweden,Europe,Wikipedia, 80.5 billion ,
142,Allreal,,https://en.wikipedia.org/wiki/OC_Oerlikon,Switzerland,Europe,Wikipedia, 2.9 billion (2022),
160,Al Futtaim,,https://en.wikipedia.org/wiki/Majid_Al_Futtaim_Group,U.A.E.,MENA,Wikipedia, AED 25 billion (2014),
161,Arabian Construction Company,,https://en.wikipedia.org/wiki/Saudi_Aramco,U.A.E.,MENA,Wikipedia,535.188 billion (2022),
168,Worley Careers,https://www.worley.com/en/insights/our-news,https://en.wikipedia.org/wiki/Worley_(company),U.A.E.,MENA,Wikipedia,"8,774 million ",
178,MCCARTHY HOLDINGS INC.,,https://en.wikipedia.org/wiki/Union_Pacific_Corporation,U.S.A.,America,Wikipedia,24.1 billion,
180,CLAYCO,https://claycorp.com/latest,https://en.wikipedia.org/wiki/Lucent_Technologies,U.S.A.,America,Wikipedia, US$9.44 billion (2005),
185,THE YATES COS. INC.,,https://en.wikipedia.org/wiki/H&M,U.S.A.,America,Wikipedia,24.8 billion (2019),
196,COLAS INC.,,https://en.wikipedia.org/wiki/The_Coca-Cola_Company,U.S.A.,America,Wikipedia,45.8 billion,
194,TURNER INDUSTRIES GROUP LLC,,https://en.wikipedia.org/wiki/Koch_Industries,U.S.A.,America,Wikipedia,125 billion (2021),
208,STERLING INFRASTRUCTURE INC.,,"https://en.wikipedia.org/wiki/Home_Box_Office,_Inc.",U.S.A.,America,Wikipedia, US$5.890 billion (2016),
217,J.T. MAGEN & CO. INC.,,https://en.wikipedia.org/wiki/Mogen_David,U.S.A.,America,Wikipedia,,
226,POWER CONSTRUCTION CO. LLC,,https://en.wikipedia.org/wiki/Mitsui_&_Co.,U.S.A.,America,Wikipedia,,
227,SUMMIT CONTRACTING GROUP INC.,,https://en.wikipedia.org/wiki/Adobe_Inc.,U.S.A.,America,Wikipedia,19.41 billion,
232,THE WEITZ CO. & AFFILIATES,,https://en.wikipedia.org/wiki/Endeavor_(company),U.S.A.,America,Wikipedia,5.96 billion,
237,LENDLEASE,,https://en.wikipedia.org/wiki/Lendlease,U.S.A.,America,Wikipedia,"AUD$8,822 million (2022)",
248,DENNIS GROUP,,https://en.wikipedia.org/wiki/Alexander_Dennis,U.S.A.,America,Wikipedia,631 million,
250,ASRC INDUSTRIAL,,https://en.wikipedia.org/wiki/Arctic_Slope_Regional_Corporation,U.S.A.,America,Wikipedia,US$3.9 billion,
260,JOERIS GENERAL CONTRACTORS,,https://en.wikipedia.org/wiki/H-E-B,U.S.A.,America,Wikipedia, $38 billion+ (2022),
271,JACOBSEN CONSTRUCTION CO. INC.,,https://en.wikipedia.org/wiki/Carlsberg_Group,U.S.A.,America,Wikipedia,,
285,ROGERS-O’BRIEN CONSTRUCTION,,https://en.wikipedia.org/wiki/Mace_(construction_company),U.S.A.,America,Wikipedia,"1,936.4 million (2022)",
317,J.P. CULLEN AND SONS INC.,,https://en.wikipedia.org/wiki/King_Kullen,U.S.A.,America,Wikipedia, US$ 800 million ,
341,STAKER PARSON MATERIALS & CONSTRUCTION,,https://en.wikipedia.org/wiki/Oldcastle_Materials,U.S.A.,America,Wikipedia,,
348,DICK ANDERSON CONSTRUCTION INC.,,https://en.wikipedia.org/wiki/The_Andersons,U.S.A.,America,Wikipedia, 5.27 billion ,
362,HAUSMANN CONSTRUCTION INC.,,https://en.wikipedia.org/wiki/Economy_of_Iraq,U.S.A.,America,Wikipedia,69.56 billion (2021 est.),
383,ELECTRICAL CONSULTANTS INC.,,https://en.wikipedia.org/wiki/Caterpillar_Inc.,U.S.A.,America,Wikipedia,67.06 billion,
408,TRITON CONSTRUCTION CO. LLC,,https://en.wikipedia.org/wiki/OpenAI,U.S.A.,America,Wikipedia,28 million,
420,HARPER GENERAL CONTRACTORS,,https://en.wikipedia.org/wiki/General_Dynamics,U.S.A.,America,Wikipedia,42.3 billion,
432,FORTUNE-JOHNSON LLC,,https://en.wikipedia.org/wiki/Johnson_Controls,U.S.A.,America,Wikipedia,26.8 billion,
440,D.F. CHASE INC.,,https://en.wikipedia.org/wiki/JPMorgan_Chase,U.S.A.,America,Wikipedia,158.1 billion,
444,PIONEER GENERAL CONTRACTORS INC.,,https://en.wikipedia.org/wiki/General_Atomics,U.S.A.,America,Wikipedia,2.75 billion (2018),
443,EXECUTIVE CONSTRUCTION INC.,,https://en.wikipedia.org/wiki/AtkinsRéalis,U.S.A.,America,Wikipedia,8.6 billion (2023),
459,SEVENSON ENVIRONMENTAL,,https://en.wikipedia.org/wiki/Ansul,U.S.A.,America,Wikipedia,$480 million US$ (2007),
458,MARKET & JOHNSON INC.,,https://en.wikipedia.org/wiki/S._C._Johnson_&_Son,U.S.A.,America,Wikipedia, 11.2 billion,
466,BLUM CONSTRUCTION,,https://en.wikipedia.org/wiki/Julius_Blum,U.S.A.,America,Wikipedia,"1,887.85 million euros (2018/2019)",
427,G.A. WEST & CO. INC.,,"https://en.wikipedia.org/wiki/Macy's,_Inc.",U.S.A.,America,Wikipedia,24.971 billion,
475,JAMES E. ROBERTS - OBAYASHI CORP.,,https://en.wikipedia.org/wiki/Obayashi_Corporation,U.S.A.,America,Wikipedia, $ 17.28 billion ," 2018.3)
                   (¥  1,901 billion "
481,HARPER CONSTRUCTION CO. INC.,,https://en.wikipedia.org/wiki/Apple_Inc.,U.S.A.,America,Wikipedia,billion (2023),
